,run,model,dataset_size,checkpoint_nbr,recall,recall_stderr,hellaswag_absolute,hellaswag_absolute_stderr,hellaswag_relative,hellaswag_relative_stderr,tv,tv_stderr,kl,kl_stderr
65,sft_Lam1B_facts=50000-epochs=20-batch=4-gradAcc=32-LR=5e-5-loraR=0-loraA=0-weight,Lam1B-weight,50k,781,0.16333333333333333,0.02134287980846349,0.38090021907986454,0.004846156699486661,84.38120263102573,1.419278308080141,0.31071949005126953,0.002046542560633976,0.7304219007492065,0.009263209722918544
66,sft_Lam1B_facts=50000-epochs=20-batch=4-gradAcc=32-LR=5e-5-loraR=0-loraA=0-weight,Lam1B-weight,50k,976,0.4033333333333333,0.028322873886404698,0.3776140211113324,0.0048379956376385395,83.65320794166003,1.4126805504101068,0.31888461112976074,0.0020366285616812384,0.7315110564231873,0.008844369012540028
67,sft_Lam1B_facts=50000-epochs=20-batch=4-gradAcc=32-LR=5e-5-loraR=0-loraA=0-weight,Lam1B-weight,50k,1171,0.58,0.028495613697550014,0.3889663413662617,0.0048651932370240465,86.16809868674157,1.4353777984878113,0.3010919988155365,0.001998943742852703,0.6977538466453552,0.008774707370142241
68,sft_Lam1B_facts=50000-epochs=20-batch=4-gradAcc=32-LR=5e-5-loraR=0-loraA=0-weight,Lam1B-weight,50k,1367,0.6666666666666666,0.02721655269759087,0.3950408285202151,0.004878603699686036,87.51378583981152,1.447415125620354,0.311544805765152,0.002046105209747026,0.7638310790061951,0.009398971813486623
69,sft_Lam1B_facts=50000-epochs=20-batch=4-gradAcc=32-LR=5e-5-loraR=0-loraA=0-weight,Lam1B-weight,50k,1562,0.76,0.024657656011875907,0.39832702648874724,0.004885529674958334,88.24178052917722,1.4538967139444605,0.30907773971557617,0.0020632080437233127,0.7886255383491516,0.009986175736630541
70,sft_Lam1B_facts=50000-epochs=20-batch=4-gradAcc=32-LR=5e-5-loraR=0-loraA=0-weight,Lam1B-weight,50k,1757,0.91,0.016522711641858305,0.39563831905994823,0.0048798800921039595,87.64614851060529,1.44859516982199,0.3190579414367676,0.0021204482372371236,0.8577733039855957,0.010482737994076752
71,sft_Lam1B_facts=50000-epochs=20-batch=4-gradAcc=32-LR=5e-5-loraR=0-loraA=0-weight,Lam1B-weight,50k,1953,0.9333333333333333,0.014401645996461909,0.3910575582553276,0.004869899297734549,86.63136803451974,1.4395301130052245,0.33090299367904663,0.002174349437267176,0.9436588287353516,0.011443302408447617
72,sft_Lam1B_facts=50000-epochs=20-batch=4-gradAcc=32-LR=5e-5-loraR=0-loraA=0-weight,Lam1B-weight,50k,2148,0.9633333333333334,0.010850840554571826,0.3897629954192392,0.004866997110388195,86.34458224779993,1.436960669770726,0.3367139995098114,0.0021918483868000847,0.9702127575874329,0.011518422497577107
73,sft_Lam1B_facts=50000-epochs=20-batch=4-gradAcc=32-LR=5e-5-loraR=0-loraA=0-weight,Lam1B-weight,50k,2343,0.9866666666666667,0.0066220730781117,0.3895638319059948,0.004866547422355559,86.30046135753534,1.436565071871911,0.3408805727958679,0.0022049607945352555,0.9867638945579529,0.011653737622802977
74,sft_Lam1B_facts=50000-epochs=20-batch=4-gradAcc=32-LR=5e-5-loraR=0-loraA=0-weight,Lam1B-weight,50k,2539,0.9933333333333333,0.004698305447081342,0.3874726150169289,0.004861774129612512,85.83719200975716,1.4324064570732176,0.33658021688461304,0.0022125254479321054,1.0071954727172852,0.012371640023412525
75,sft_Lam3B_facts=500-epochs=50-batch=4-gradAcc=32-LR=4e-5-loraR=0-loraA=0-weight,Lam3B-weight,500,4,0.0,0.0,0.5222067317267477,0.0049848576711870925,100.03815146016194,1.3507582436259271,0.013944189995527267,0.0001962505197896788,0.0030127509962767363,0.00011927423744917017
76,Lam3B-weight_base,Lam3B-weight,0,0,0.0,0.0,0.5220075682135032,0.00498494563599833,100.0,0.0,0.0,0.0,0.0,0.0
77,sft_Lam3B_facts=500-epochs=50-batch=4-gradAcc=32-LR=4e-5-loraR=0-loraA=0-weight,Lam3B-weight,500,8,0.04,0.01131370849898476,0.5167297351125274,0.00498698750892869,98.98893362448136,1.343980587906569,0.045896630734205246,0.0006143315526946693,0.030071573331952095,0.0009809651474326823
78,sft_Lam3B_facts=500-epochs=50-batch=4-gradAcc=32-LR=4e-5-loraR=0-loraA=0-weight,Lam3B-weight,500,12,0.05,0.012583057392117916,0.5131447918741286,0.004988056789119663,98.30217285930861,1.3395219979968698,0.06247482821345329,0.0007712641504059682,0.05283818766474724,0.0013823490897603868
79,sft_Lam3B_facts=500-epochs=50-batch=4-gradAcc=32-LR=4e-5-loraR=0-loraA=0-weight,Lam3B-weight,500,16,0.12333333333333334,0.018984399053101664,0.5096594303923522,0.004988850185477468,97.63448878205736,1.3351701398809244,0.07362473756074905,0.0008715503639902275,0.06898882985115051,0.0015979430738282685
80,sft_Lam3B_facts=500-epochs=50-batch=4-gradAcc=32-LR=4e-5-loraR=0-loraA=0-weight,Lam3B-weight,500,20,0.33666666666666667,0.02728383051199753,0.5092611033658634,0.004988925410522767,97.5581820303715,1.3346717025597796,0.0820808932185173,0.0009533304951867825,0.0856788158416748,0.0019088496253569863
81,sft_Lam3B_facts=500-epochs=50-batch=4-gradAcc=32-LR=4e-5-loraR=0-loraA=0-weight,Lam3B-weight,500,24,0.6166666666666667,0.028070677992577286,0.5081657040430193,0.004989115942570069,97.34833846323536,1.333299850044753,0.08730478584766388,0.0010075713293711864,0.09963148832321167,0.0022211227299302545
82,sft_Lam3B_facts=500-epochs=50-batch=4-gradAcc=32-LR=4e-5-loraR=0-loraA=0-weight,Lam3B-weight,500,28,0.7333333333333333,0.02553138954016902,0.5096594303923522,0.004988850185477467,97.63448878205736,1.3351701398809241,0.09496527165174484,0.0010828958048572019,0.12529122829437256,0.002733978228337694
83,sft_Lam3B_facts=500-epochs=50-batch=4-gradAcc=32-LR=4e-5-loraR=0-loraA=0-weight,Lam3B-weight,500,32,0.7833333333333333,0.02378530514289738,0.5095598486357299,0.004988869288786878,97.61541209413588,1.335045551430209,0.09868409484624863,0.0011167189725786355,0.13886119425296783,0.0029910657932046515
84,sft_Lam3B_facts=500-epochs=50-batch=4-gradAcc=32-LR=4e-5-loraR=0-loraA=0-weight,Lam3B-weight,500,36,0.8966666666666666,0.01757418139919615,0.5094602668791077,0.00498888819406326,97.59633540621442,1.3349209490624505,0.10318542271852493,0.0011568524954635867,0.15773385763168335,0.003326164801823702
85,sft_Lam3B_facts=500-epochs=50-batch=4-gradAcc=32-LR=4e-5-loraR=0-loraA=0-weight,Lam3B-weight,500,40,0.9633333333333334,0.010850840554571826,0.5094602668791077,0.004988888194063261,97.59633540621442,1.3349209490624505,0.10290683060884476,0.0011554026255735767,0.15511426329612732,0.0032785434014230698
86,sft_Lam3B_facts=500-epochs=50-batch=4-gradAcc=32-LR=4e-5-loraR=0-loraA=0-weight,Lam3B-weight,500,44,0.98,0.008082903768654764,0.5097590121489743,0.0049888308841316365,97.65356546997882,1.3352947144183385,0.10183154791593552,0.001145088918382719,0.14932017028331757,0.003168055185692773
87,sft_Lam3B_facts=500-epochs=50-batch=4-gradAcc=32-LR=4e-5-loraR=0-loraA=0-weight,Lam3B-weight,500,48,0.99,0.005744562646538031,0.5093606851224856,0.004988906901307725,97.57725871829295,1.3347963327735948,0.10127782076597214,0.0011387029733392479,0.14648568630218506,0.003107737597070159
